cluster_id	referent	in_clust
0	ET948_RS10075	ET948_RS10075
1	ET948_RS11415	ET948_RS11415
2	ET948_RS11760	ET948_RS11760
3	ET948_RS15845	ET948_RS15845
3	ET948_RS15845	TW84_RS14930
3	ET948_RS15845	CEQ48_RS01415
4	ET948_RS17665	ET948_RS17665
5	GPX87_RS15965	GPX87_RS15965
6	EXA14_RS04740	EXA14_RS04740
7	EXA16_RS15655	EXA16_RS15655
8	EXA17_RS02890	EXA17_RS02890
9	EXA18_RS00625	EXA18_RS00625
10	EXA19_RS18000	EXA19_RS18000
10	EXA19_RS18000	EXA21_RS17280
11	EXA23_RS14140	EXA23_RS14140
12	MJ623_RS14205	MJ623_RS14205
12	MJ623_RS14205	ET948_RS00670
12	MJ623_RS14205	CEQ48_RS15005
13	MJ623_RS15830	MJ623_RS15830
14	MJ623_RS19545	MJ623_RS19545
15	ET948_RS01175	ET948_RS01175
15	ET948_RS01175	CEQ48_RS07200
15	ET948_RS01175	TW84_RS09255
16	ET948_RS01550	ET948_RS01550
16	ET948_RS01550	TW84_RS20460
16	ET948_RS01550	CEQ48_RS16085
17	ET948_RS09140	ET948_RS09140
17	ET948_RS09140	TW84_RS09720
17	ET948_RS09140	CEQ48_RS13595
18	ET948_RS10375	ET948_RS10375
18	ET948_RS10375	TW84_RS00745
18	ET948_RS10375	CEQ48_RS11335
19	ET948_RS14285	ET948_RS14285
20	GPX92_RS08200	GPX92_RS08200
21	EXA14_RS18905	EXA14_RS18905
22	EXA14_RS11145	EXA14_RS11145
23	EXA15_RS09915	EXA15_RS09915
24	EXA15_RS14665	EXA15_RS14665
25	EXA16_RS15875	EXA16_RS15875
26	EXA17_RS15295	EXA17_RS15295
27	EXA18_RS13180	EXA18_RS13180
28	EXA18_RS06520	EXA18_RS06520
29	EXA18_RS06680	EXA18_RS06680
29	EXA18_RS06680	ABS858_RS04435
30	EXA20_RS16170	EXA20_RS16170
31	EXA22_RS12640	EXA22_RS12640
32	EXA22_RS00860	EXA22_RS00860
33	EXA23_RS12100	EXA23_RS12100
34	MJ623_RS15275	MJ623_RS15275
35	MJ623_RS16430	MJ623_RS16430
36	ET948_RS15395	ET948_RS15395
37	GPX87_RS14080	GPX87_RS14080
37	GPX87_RS14080	AACU23_RS03910
38	GPX92_RS00770	GPX92_RS00770
38	GPX92_RS00770	JYA58_RS06290
39	EXA14_RS15410	EXA14_RS15410
39	EXA14_RS15410	DLR58_RS11985
39	EXA14_RS15410	TW84_RS14605
40	EXA15_RS04660	EXA15_RS04660
41	EXA17_RS12120	EXA17_RS12120
42	EXA19_RS13660	EXA19_RS13660
43	EXA23_RS16580	EXA23_RS16580
44	MJ623_RS19020	MJ623_RS19020
45	ET948_RS04015	ET948_RS04015
45	ET948_RS04015	CEQ48_RS18885
46	ET948_RS06725	ET948_RS06725
46	ET948_RS06725	CEQ48_RS15715
46	ET948_RS06725	TW84_RS13845
47	ET948_RS06910	ET948_RS06910
47	ET948_RS06910	TW84_RS09145
47	ET948_RS06910	DLR58_RS08780
48	ET948_RS13550	ET948_RS13550
48	ET948_RS13550	TW84_RS13020
49	GPX94_RS03530	GPX94_RS03530
49	GPX94_RS03530	DLR61_RS13800
50	EXA14_RS14885	EXA14_RS14885
50	EXA14_RS14885	EXA19_RS08980
50	EXA14_RS14885	TW84_RS11680
51	EXA16_RS15115	EXA16_RS15115
51	EXA16_RS15115	EXA20_RS14960
51	EXA16_RS15115	EXA17_RS10260
51	EXA16_RS15115	DLR58_RS17560
51	EXA16_RS15115	EXA22_RS12385
51	EXA16_RS15115	TW84_RS20245
51	EXA16_RS15115	GPX87_RS06940
52	EXA22_RS04520	EXA22_RS04520
52	EXA22_RS04520	AACX92_RS00935
53	EXA22_RS06855	EXA22_RS06855
54	MJ623_RS12325	MJ623_RS12325
55	EXA23_RS16340	EXA23_RS16340
56	MJ623_RS16725	MJ623_RS16725
57	ET948_RS04530	ET948_RS04530
58	ET948_RS04700	ET948_RS04700
